"ID(s) interactor A"	"ID(s) interactor B"	"Alt. ID(s) interactor A"	"Alt. ID(s) interactor B"	"Alias(es) interactor A"	"Alias(es) interactor B"	"Interaction detection method(s)"	"Publication 1st author(s)"	"Publication Identifier(s)"	"Taxid interactor A"	"Taxid interactor B"	"Interaction type(s)"	"Source database(s)"	"Interaction identifier(s)"	"Confidence value(s)"	"Experimental role(s) interactor A"	"Experimental role(s) interactor B"	"Properties interactor A"	"Properties interactor B"	"HostOrganism(s)"
uniprotkb:P18031	uniprotkb:P51692	uniprotkb:PTPN1(gene name)	uniprotkb:STAT5B(gene name)	-	-	MI:0434(phosphatase assay)|MI:0686(unspecified method)|MI:0434(phosphatase assay)|MI:0492(in vitro)	-	pubmed:12237455|pubmed:12237455|pubmed:12237455|pubmed:12237455	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|-	MI:0471(mint)|(biogrid)|MI:0471(mint)|MI:0468(hprd)	MINT_39472|BIOGRID_107838|MINT_68735|HPRD_1579	-	prey|bait|prey|-	bait|prey|bait|-	go:GO:0060397|go:GO:0031532|go:GO:0031410|go:GO:0005829|go:GO:0005769|go:GO:0005783|go:GO:0005789|go:GO:0030968|go:GO:0008286|go:GO:0060333|go:GO:0046627|go:GO:0030168|go:GO:0004725|go:GO:0030100|go:GO:0060334|go:GO:0060338|go:GO:0060337|go:GO:0008270	go:GO:0006103|go:GO:0060397|go:GO:0048541|go:GO:0000979|go:GO:0033077|go:GO:0043029|go:GO:0006953|go:GO:0000255|go:GO:0005509|go:GO:0006101|go:GO:0006600|go:GO:0046449|go:GO:0019221|go:GO:0005829|go:GO:0046543|go:GO:0046544|go:GO:0003690|go:GO:0006631|go:GO:0007565|go:GO:0006549|go:GO:0007595|go:GO:0019915|go:GO:0001889|go:GO:0001553|go:GO:0001779|go:GO:0045647|go:GO:0005654|go:GO:0006107|go:GO:0045579|go:GO:0042104|go:GO:0051272|go:GO:0045588|go:GO:0050729|go:GO:0045086|go:GO:0045931|go:GO:0040018|go:GO:0032825|go:GO:0045954|go:GO:0032819|go:GO:0048661|go:GO:0045885|go:GO:0045944|go:GO:0042448|go:GO:0030155|go:GO:0030856|go:GO:0040014|go:GO:0019218|go:GO:0032355|go:GO:0045471|go:GO:0001666|go:GO:0070672|go:GO:0070669|go:GO:0070670|go:GO:0032496|go:GO:0003700|go:GO:0004871|go:GO:0006105|go:GO:0019530|go:GO:0006366|go:GO:0006573	in vitro:-1|unspecified:32644|in vitro:-1|-
uniprotkb:P04844	uniprotkb:Q9BUV8	uniprotkb:RPN2(gene name)	uniprotkb:C20orf24(gene name)	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17353931	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_111655	-	prey	bait	go:GO:0006614|go:GO:0004579|go:GO:0016021|go:GO:0005634|go:GO:0008250|go:GO:0043687|go:GO:0018279	-	human-293:9606
uniprotkb:P05787	uniprotkb:P11532	uniprotkb:KRT8(gene name)	uniprotkb:DMD(gene name)	-	-	MI:0107(surface plasmon resonance)|MI:0493(in vivo)	-	pubmed:16000376|pubmed:16000376	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0914(association)|-	MI:0469(intact)|MI:0468(hprd)	IntAct_147731|HPRD_31011	-	prey|-	bait|-	go:GO:0005737|go:GO:0007010|go:GO:0005882|go:GO:0045095|go:GO:0016363|go:GO:0005654|go:GO:0005198|go:GO:0019048	go:GO:0009986|go:GO:0043034|go:GO:0005856|go:GO:0005829|go:GO:0016010|go:GO:0030049|go:GO:0007517|go:GO:0043043|go:GO:0042383|go:GO:0005200|go:GO:0008307|go:GO:0008270	in vitro:-1|-
uniprotkb:Q15797	uniprotkb:Q99717	uniprotkb:SMAD1(gene name)	uniprotkb:SMAD5(gene name)	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15231748|pubmed:15231748|pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|-|MI:0915(physical association)	MI:0471(mint)|MI:0468(hprd)|MI:0471(mint)	MINT_32484|HPRD_387|MINT_61332	-	bait|-|bait	prey|-|prey	go:GO:0030509|go:GO:0000165|go:GO:0000979|go:GO:0007183|go:GO:0071407|go:GO:0005829|go:GO:0009880|go:GO:0007276|go:GO:0030902|go:GO:0042592|go:GO:0006954|go:GO:0016021|go:GO:0001822|go:GO:0001710|go:GO:0030901|go:GO:0008285|go:GO:0005637|go:GO:0005654|go:GO:0002051|go:GO:0045768|go:GO:0061036|go:GO:0050775|go:GO:0045669|go:GO:0045944|go:GO:0031053|go:GO:0006468|go:GO:0042493|go:GO:0010243|go:GO:0003700|go:GO:0005667|go:GO:0006351|go:GO:0007179|go:GO:0030618|go:GO:0001657|go:GO:0042060	go:GO:0030509|go:GO:0001880|go:GO:0000979|go:GO:0060048|go:GO:0071407|go:GO:0005829|go:GO:0009880|go:GO:0030218|go:GO:0007281|go:GO:0016021|go:GO:0005654|go:GO:0002051|go:GO:0045669|go:GO:0045944|go:GO:0045893|go:GO:0006468|go:GO:0003700|go:GO:0005667|go:GO:0006351|go:GO:0007179|go:GO:0030618|go:GO:0001657	yeast:4932|-|yeast:4932
uniprotkb:Q14151	uniprotkb:Q15424	uniprotkb:SAFB2(gene name)	uniprotkb:SAFB(gene name)	-	-	MI:0018(two hybrid)|MI:0493(in vivo)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:12660241|pubmed:12660241|pubmed:12660241|pubmed:12660241|pubmed:12660241|pubmed:12660241	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|-|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	(biogrid)|MI:0468(hprd)|(biogrid)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)	BIOGRID_70628|HPRD_11660|BIOGRID_82695|IntAct_155652|IntAct_155651|IntAct_155650	-	prey|-|prey|prey|prey|prey	bait|-|bait|bait|bait|bait	go:GO:0003677|go:GO:0003723|go:GO:0005737|go:GO:0000166|go:GO:0005634|go:GO:0006355|go:GO:0006351	go:GO:0003723|go:GO:0003682|go:GO:0006325|go:GO:0001047|go:GO:0003690|go:GO:0040007|go:GO:0042445|go:GO:0030520|go:GO:0000166|go:GO:0005634|go:GO:0045944|go:GO:0006351	unspecified:32644|-|unspecified:32644|in vitro:-1|in vitro:-1|in vitro:-1
uniprotkb:O60551	uniprotkb:P04637	uniprotkb:NMT2(gene name)	uniprotkb:p53(gene name)	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0493(in vivo)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:16530191|pubmed:16530191|pubmed:16530191	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|-|MI:0915(physical association)	MI:0471(mint)|MI:0468(hprd)|MI:0471(mint)	MINT_48652|HPRD_31257|MINT_78043	-	bait|-|bait	prey|-|prey	go:GO:0005794|go:GO:0006499|go:GO:0003824|go:GO:0005829|go:GO:0046788|go:GO:0004379|go:GO:0005886|go:GO:0009249	go:GO:0005524|go:GO:0002326|go:GO:0006977|go:GO:0006978|go:GO:0000733|go:GO:0006983|go:GO:0016605|go:GO:0001077|go:GO:0001228|go:GO:0007265|go:GO:0033077|go:GO:0002360|go:GO:0002309|go:GO:0006284|go:GO:0007596|go:GO:0007050|go:GO:0030154|go:GO:0008283|go:GO:0034613|go:GO:0034644|go:GO:0035690|go:GO:0042149|go:GO:0071456|go:GO:0071479|go:GO:0007417|go:GO:0005678|go:GO:0003682|go:GO:0051276|go:GO:0005507|go:GO:0005737|go:GO:0005829|go:GO:0003684|go:GO:0008340|go:GO:0006302|go:GO:0005783|go:GO:0007369|go:GO:0035033|go:GO:0001701|go:GO:0006917|go:GO:0072332|go:GO:0042771|go:GO:0005739|go:GO:0071850|go:GO:0035264|go:GO:0008156|go:GO:0043066|go:GO:0030308|go:GO:0048147|go:GO:0051097|go:GO:0007406|go:GO:0000122|go:GO:0030512|go:GO:0051402|go:GO:0000790|go:GO:0016363|go:GO:0005730|go:GO:0006289|go:GO:0005634|go:GO:0090403|go:GO:0090343|go:GO:0031065|go:GO:2001244|go:GO:0043525|go:GO:0050731|go:GO:0032461|go:GO:2000379|go:GO:0090200|go:GO:0070245|go:GO:0045944|go:GO:0000060|go:GO:0008104|go:GO:0051262|go:GO:0009303|go:GO:0046902|go:GO:0001836|go:GO:0005657|go:GO:0090399|go:GO:0010165|go:GO:0046677|go:GO:0010332|go:GO:0009651|go:GO:0001756|go:GO:0044212|go:GO:0007179|go:GO:0019048|go:GO:0008270	human:9606|-|human:9606
uniprotkb:Q09019	uniprotkb:Q14160	uniprotkb:DMWD(gene name)	uniprotkb:SCRIB(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19615732|pubmed:19615732	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	(biogrid)|MI:0469(intact)	BIOGRID_113194|IntAct_136840	-	bait|bait	prey|prey	go:GO:0007126	go:GO:0034750|go:GO:0032863|go:GO:0060561|go:GO:0016477|go:GO:0008283|go:GO:0005913|go:GO:0016337|go:GO:0035089|go:GO:0060603|go:GO:0045930|go:GO:0001843|go:GO:0005886|go:GO:0050918|go:GO:0043065|go:GO:0001921|go:GO:0071896|go:GO:0019048	unspecified:32644|human-293t:9606
uniprotkb:P09651	uniprotkb:Q9UMX1	uniprotkb:HNRNPA1(gene name)	uniprotkb:SUFU(gene name)	-	-	MI:0018(two hybrid)	-	pubmed:14611647	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_38621	-	-	-	go:GO:0006405|go:GO:0071013|go:GO:0005737|go:GO:0045111|go:GO:0000398|go:GO:0051028|go:GO:0051170|go:GO:0005730|go:GO:0005654|go:GO:0000166|go:GO:0003697|go:GO:0003727|go:GO:0019048	go:GO:0005929|go:GO:0005737|go:GO:0042994|go:GO:0001947|go:GO:0045668|go:GO:0043433|go:GO:0045879|go:GO:0042992|go:GO:0000122|go:GO:0001843|go:GO:0005634|go:GO:0006508|go:GO:0004871|go:GO:0001501|go:GO:0043588|go:GO:0021513|go:GO:0003714	-
uniprotkb:P0CG48	uniprotkb:P39023	uniprotkb:UBC(gene name)	uniprotkb:RPL3(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:18781797|pubmed:21987572|pubmed:21139048|pubmed:22178446|pubmed:16196087|pubmed:21906983|pubmed:21890473|pubmed:21963094	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)	BIOGRID_155329|BIOGRID_156462|BIOGRID_162205|BIOGRID_153167|BIOGRID_136084|BIOGRID_171640|BIOGRID_167827|BIOGRID_160806	-	bait|bait|bait|bait|bait|bait|bait|bait	prey|prey|prey|prey|prey|prey|prey|prey	go:GO:0006977|go:GO:0006281|go:GO:0000080|go:GO:0000082|go:GO:0007249|go:GO:0007254|go:GO:0000216|go:GO:0002755|go:GO:0007220|go:GO:0007219|go:GO:0000084|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0031145|go:GO:0006916|go:GO:0002479|go:GO:0006915|go:GO:0016044|go:GO:0019221|go:GO:0005829|go:GO:0046788|go:GO:0030666|go:GO:0016197|go:GO:0010008|go:GO:0007173|go:GO:0008543|go:GO:0008624|go:GO:0045087|go:GO:0016071|go:GO:0042059|go:GO:0000122|go:GO:0030512|go:GO:0032480|go:GO:0051436|go:GO:0048011|go:GO:0005654|go:GO:0070423|go:GO:0005886|go:GO:0043123|go:GO:0051092|go:GO:0045944|go:GO:0051437|go:GO:0000209|go:GO:0061418|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006367|go:GO:0007179	go:GO:0003723|go:GO:0006614|go:GO:0022625|go:GO:0000184|go:GO:0005730|go:GO:0003735|go:GO:0006414|go:GO:0006413|go:GO:0006415|go:GO:0019083	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644
uniprotkb:Q96T60	uniprotkb:Q9NP98	uniprotkb:PNKP(gene name)	uniprotkb:MYOZ1(gene name)	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|-|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0469(intact)|MI:0471(mint)|MI:0468(hprd)|MI:0469(intact)|MI:0471(mint)|(biogrid)	IntAct_105829|MINT_37309|HPRD_22644|IntAct_103829|MINT_66490|BIOGRID_71864	-	unspecified role|bait|-|unspecified role|bait|bait	unspecified role|prey|-|unspecified role|prey|prey	go:GO:0005524|go:GO:0046404|go:GO:0042769|go:GO:0006261|go:GO:0003684|go:GO:0003690|go:GO:0004519|go:GO:0005730|go:GO:0019201|go:GO:0000718|go:GO:0046403|go:GO:0006979|go:GO:0009314	go:GO:0015629|go:GO:0030239|go:GO:0005634|go:GO:0031143	yeasx:4932|yeast:4932|-|yeasx:4932|yeast:4932|unspecified:32644
uniprotkb:O75815	uniprotkb:P07355	uniprotkb:BCAR3(gene name)	uniprotkb:ANXA2(gene name)	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17353931	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_210795	-	bait	prey	go:GO:0005085|go:GO:0005622|go:GO:0042493|go:GO:0007165|go:GO:0007264	go:GO:0001525|go:GO:0005604|go:GO:0005509|go:GO:0005544|go:GO:0005811|go:GO:0042470|go:GO:0030496|go:GO:0004859|go:GO:0005886|go:GO:0031340|go:GO:0001501	human-293:9606
uniprotkb:P0CG48	uniprotkb:Q5SVS4	uniprotkb:UBC(gene name)	uniprotkb:SLC25A30(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:21906983	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_174236	-	bait	prey	go:GO:0006977|go:GO:0006281|go:GO:0000080|go:GO:0000082|go:GO:0007249|go:GO:0007254|go:GO:0000216|go:GO:0002755|go:GO:0007220|go:GO:0007219|go:GO:0000084|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0031145|go:GO:0006916|go:GO:0002479|go:GO:0006915|go:GO:0016044|go:GO:0019221|go:GO:0005829|go:GO:0046788|go:GO:0030666|go:GO:0016197|go:GO:0010008|go:GO:0007173|go:GO:0008543|go:GO:0008624|go:GO:0045087|go:GO:0016071|go:GO:0042059|go:GO:0000122|go:GO:0030512|go:GO:0032480|go:GO:0051436|go:GO:0048011|go:GO:0005654|go:GO:0070423|go:GO:0005886|go:GO:0043123|go:GO:0051092|go:GO:0045944|go:GO:0051437|go:GO:0000209|go:GO:0061418|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006367|go:GO:0007179	go:GO:0016021|go:GO:0005743|go:GO:0006839|go:GO:0005739	unspecified:32644
uniprotkb:Q53HC9	uniprotkb:Q8N163	uniprotkb:TSSC1(gene name)	uniprotkb:KIAA1967(gene name)	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17353931	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_111063	-	bait	prey	-	go:GO:0044609|go:GO:0008380|go:GO:0006915|go:GO:0004857|go:GO:0006397|go:GO:0005759|go:GO:0005634|go:GO:0043065|go:GO:0032784	human-293:9606
uniprotkb:Q9UIG0	uniprotkb:Q9Y5B9	uniprotkb:BAZ1B(gene name)	uniprotkb:SUPT16H(gene name)	-	-	MI:0493(in vivo)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:12837248|pubmed:12837248|pubmed:12837248	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0915(physical association)|MI:0915(physical association)	MI:0468(hprd)|(biogrid)|(biogrid)	HPRD_39352|BIOGRID_81680|BIOGRID_81679	-	-|bait|bait	-|prey|prey	go:GO:0005524|go:GO:0043044|go:GO:0034725|go:GO:0071778|go:GO:0005721|go:GO:0003682|go:GO:0048096|go:GO:0000793|go:GO:0006302|go:GO:0003007|go:GO:0035173|go:GO:0004715|go:GO:0004713|go:GO:0006351|go:GO:0071884|go:GO:0008270	go:GO:0006281|go:GO:0006260|go:GO:0005525|go:GO:0005694|go:GO:0005654|go:GO:0006337|go:GO:0032786|go:GO:0050434|go:GO:0006368|go:GO:0016032	-|unspecified:32644|unspecified:32644
uniprotkb:P0CG48	uniprotkb:Q5T848	uniprotkb:UBC(gene name)	uniprotkb:GPR158(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:18655026	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_109474	-	bait	prey	go:GO:0006977|go:GO:0006281|go:GO:0000080|go:GO:0000082|go:GO:0007249|go:GO:0007254|go:GO:0000216|go:GO:0002755|go:GO:0007220|go:GO:0007219|go:GO:0000084|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0031145|go:GO:0006916|go:GO:0002479|go:GO:0006915|go:GO:0016044|go:GO:0019221|go:GO:0005829|go:GO:0046788|go:GO:0030666|go:GO:0016197|go:GO:0010008|go:GO:0007173|go:GO:0008543|go:GO:0008624|go:GO:0045087|go:GO:0016071|go:GO:0042059|go:GO:0000122|go:GO:0030512|go:GO:0032480|go:GO:0051436|go:GO:0048011|go:GO:0005654|go:GO:0070423|go:GO:0005886|go:GO:0043123|go:GO:0051092|go:GO:0045944|go:GO:0051437|go:GO:0000209|go:GO:0061418|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006367|go:GO:0007179	go:GO:0004930|go:GO:0016021|go:GO:0005886	unspecified:32644
uniprotkb:P51570	uniprotkb:Q01804	uniprotkb:GALK1(gene name)	uniprotkb:OTUD4(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19615732|pubmed:19615732	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	(biogrid)|MI:0469(intact)	BIOGRID_112357|IntAct_136801	-	prey|prey	bait|bait	go:GO:0005524|go:GO:0005829|go:GO:0019402|go:GO:0004335|go:GO:0005534|go:GO:0019388|go:GO:0044281	-	unspecified:32644|human-293t:9606
uniprotkb:Q15559	uniprotkb:Q9Y6D9	uniprotkb:(gene name)	uniprotkb:MAD1L1(gene name)	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:16189514|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0471(mint)|MI:0471(mint)	MINT_67034|MINT_37851	-	bait|bait	prey|prey	-	go:GO:0015629|go:GO:0051301|go:GO:0005813|go:GO:0000777|go:GO:0005829|go:GO:0005739|go:GO:0000090|go:GO:0007094|go:GO:0000089|go:GO:0000236|go:GO:0000093|go:GO:0005634|go:GO:0005819	yeast:4932|yeast:4932
uniprotkb:P05107	uniprotkb:Q9Y4G6	uniprotkb:ITGB2(gene name)	uniprotkb:TLN2(gene name)	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19234221|pubmed:19234221|pubmed:19234221|pubmed:19234221|pubmed:19234221|pubmed:19234221|pubmed:19234221|pubmed:19234221|pubmed:19234221|pubmed:19234221	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0471(mint)|MI:0471(mint)|MI:0471(mint)|MI:0471(mint)|MI:0471(mint)|MI:0471(mint)|MI:0471(mint)|MI:0471(mint)|MI:0471(mint)|MI:0471(mint)	MINT_72013|MINT_42022|MINT_42016|MINT_72012|MINT_42023|MINT_42018|MINT_42019|MINT_72006|MINT_72009|MINT_72008	-	bait|prey|prey|prey|bait|bait|bait|prey|bait|bait	prey|bait|bait|bait|prey|prey|prey|bait|prey|prey	go:GO:0006915|go:GO:0007596|go:GO:0007267|go:GO:0007160|go:GO:0006954|go:GO:0008305|go:GO:0007229|go:GO:0007159|go:GO:0007275|go:GO:0030593|go:GO:0004872|go:GO:0008360|go:GO:0050776|go:GO:0050730	go:GO:0015629|go:GO:0007155|go:GO:0005911|go:GO:0007043|go:GO:0005737|go:GO:0007016|go:GO:0005916|go:GO:0005925|go:GO:0001726|go:GO:0005200|go:GO:0005198|go:GO:0045202	human:9606|human:9606|human:9606|human:9606|human:9606|human:9606|human:9606|human:9606|human:9606|human:9606
uniprotkb:Q3ZCQ8	uniprotkb:Q9Y6K9	uniprotkb:TIMM50(gene name)	uniprotkb:IKBKG(gene name)	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:14743216|pubmed:14743216|pubmed:14743216	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0471(mint)|MI:0471(mint)|MI:0469(intact)	MINT_53572|MINT_87178|IntAct_151282	-	prey|prey|prey	bait|bait|bait	go:GO:0003723|go:GO:0016021|go:GO:0005744|go:GO:0007006|go:GO:0016607|go:GO:0004722|go:GO:0006626|go:GO:0004725|go:GO:0001836|go:GO:0043021	go:GO:0001782|go:GO:0007249|go:GO:0008385|go:GO:0007254|go:GO:0002755|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0007250|go:GO:0006917|go:GO:0006954|go:GO:0045087|go:GO:0046872|go:GO:0070423|go:GO:0005634|go:GO:0043123|go:GO:0051092|go:GO:0032481|go:GO:0006974|go:GO:0009615|go:GO:0004871|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006351|go:GO:0019048	in vivo:-4|in vivo:-4|human-293:9606
uniprotkb:Q06323	uniprotkb:Q9HB96	uniprotkb:PSME1(gene name)	uniprotkb:FANCE(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:20937699	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_129381	-	bait	prey	go:GO:0006977|go:GO:0000082|go:GO:0000216|go:GO:0000084|go:GO:0031145|go:GO:0002479|go:GO:0006915|go:GO:0005829|go:GO:0010467|go:GO:0016071|go:GO:0051436|go:GO:0005654|go:GO:0051437|go:GO:0008537|go:GO:0000502|go:GO:0000209|go:GO:0042981|go:GO:0006521|go:GO:0044281|go:GO:0016032	go:GO:0006281|go:GO:0043240	unspecified:32644
uniprotkb:P17081	uniprotkb:P41743	uniprotkb:RHOQ(gene name)	uniprotkb:PRKCI(gene name)	-	-	MI:0018(two hybrid)	-	pubmed:10934474	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_5230	-	-	-	go:GO:0005525|go:GO:0003924|go:GO:0005884|go:GO:0030866|go:GO:0005829|go:GO:0008286|go:GO:0045121|go:GO:0090005|go:GO:0005886|go:GO:0051491|go:GO:0046326|go:GO:0045944|go:GO:0032956|go:GO:0008360|go:GO:0051056|go:GO:0007264	go:GO:0005524|go:GO:0043220|go:GO:0007015|go:GO:0006916|go:GO:0016324|go:GO:0016044|go:GO:0032869|go:GO:0007010|go:GO:0005829|go:GO:0005768|go:GO:0035089|go:GO:0045197|go:GO:0042462|go:GO:0035556|go:GO:0034351|go:GO:0043524|go:GO:0048011|go:GO:0005634|go:GO:0005543|go:GO:0005886|go:GO:0000133|go:GO:0051092|go:GO:2000353|go:GO:0090004|go:GO:0060252|go:GO:0046326|go:GO:0010976|go:GO:0004697|go:GO:0006612|go:GO:0046903|go:GO:0070830|go:GO:0016192|go:GO:0008270	-
uniprotkb:P19174	uniprotkb:Q06124	uniprotkb:PLCG1(gene name)	uniprotkb:PTPN11(gene name)	-	-	MI:0492(in vitro)	-	pubmed:15563458	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_16598	-	-	-	go:GO:0050852|go:GO:0000186|go:GO:0007202|go:GO:0007411|go:GO:0007596|go:GO:0005509|go:GO:0006816|go:GO:0071364|go:GO:0019221|go:GO:0005829|go:GO:0007173|go:GO:0008543|go:GO:0001701|go:GO:0032959|go:GO:0035556|go:GO:0030027|go:GO:0050900|go:GO:0048011|go:GO:0043005|go:GO:0004435|go:GO:0005543|go:GO:0009395|go:GO:0005886|go:GO:0045766|go:GO:0043536|go:GO:0010634|go:GO:0009306|go:GO:0005057|go:GO:0009629|go:GO:0042542|go:GO:0043278|go:GO:0010243|go:GO:0001726|go:GO:0008180|go:GO:0019048	go:GO:0000077|go:GO:0031295|go:GO:0000187|go:GO:0007411|go:GO:0007596|go:GO:0005829|go:GO:0048013|go:GO:0007173|go:GO:0008543|go:GO:0042593|go:GO:0042445|go:GO:0009755|go:GO:0008286|go:GO:0060333|go:GO:0050900|go:GO:0005739|go:GO:0048609|go:GO:0051463|go:GO:0060125|go:GO:0046676|go:GO:0048011|go:GO:0004726|go:GO:0035265|go:GO:2001275|go:GO:0046887|go:GO:0009967|go:GO:0043234|go:GO:0033628|go:GO:0060334|go:GO:0040014|go:GO:0046825|go:GO:0060338|go:GO:0006641|go:GO:0060337	-
uniprotkb:O60216	uniprotkb:A4UGR9	uniprotkb:RAD21(gene name)	uniprotkb:XIRP2(gene name)	-	-	MI:0018(two hybrid)	-	pubmed:22145905	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_158615	-	bait	prey	go:GO:0006915|go:GO:0051301|go:GO:0007059|go:GO:0000775|go:GO:0008278|go:GO:0006302|go:GO:0007091|go:GO:0000236|go:GO:0000228|go:GO:0005654|go:GO:0071168|go:GO:0007131|go:GO:0006357	go:GO:0030036|go:GO:0030054	unspecified:32644
